0,	1,	1.00000
1,	1,	1.00000
2,	3,	1.20000
3,	2,	1.28000
4,	2,	1.35200
5,	1,	1.31680
6,	3,	1.48512
7,	3,	1.63661
8,	3,	1.77295
9,	6,	2.19565
10,	2,	2.17609
11,	2,	2.15848
12,	3,	2.24263
13,	2,	2.21837
14,	4,	2.39653
15,	4,	2.55688
16,	12,	3.50119
17,	7,	3.85107
18,	2,	3.66596
19,	1,	3.39937
20,	1,	3.15943
21,	1,	2.94349
22,	5,	3.14914
23,	3,	3.13423
24,	1,	2.92080
25,	3,	2.92872
26,	10,	3.63585
27,	3,	3.57227
28,	2,	3.41504
29,	3,	3.37353
30,	5,	3.53618
31,	7,	3.88256
32,	7,	4.19431
33,	3,	4.07488
34,	6,	4.26739
35,	1,	3.94065
36,	1,	3.64658
37,	1,	3.38193
38,	3,	3.34373
39,	10,	4.00936
40,	7,	4.30842
41,	4,	4.27758
42,	6,	4.44982
43,	7,	4.70484
44,	3,	4.53436
45,	6,	4.68092
46,	1,	4.31283
47,	1,	3.98155
48,	6,	4.18339
49,	3,	4.06505
50,	6,	4.25855
51,	12,	5.03269
52,	2,	4.72942
53,	5,	4.75648
54,	2,	4.48083
55,	4,	4.43275
56,	2,	4.18947
57,	5,	4.27053
58,	5,	4.34347
59,	4,	4.30913
60,	20,	5.87821
61,	3,	5.59039
62,	4,	5.43135
63,	5,	5.38822
64,	1,	4.94940
65,	12,	5.65446
66,	1,	5.18901
67,	17,	6.37011
68,	1,	5.83310
69,	1,	5.34979
70,	6,	5.41481
71,	1,	4.97333
72,	1,	4.57600
73,	3,	4.41840
74,	5,	4.47656
75,	2,	4.22890
76,	4,	4.20601
77,	2,	3.98541
78,	2,	3.78687
79,	9,	4.30818
80,	3,	4.17736
81,	1,	3.85963
82,	5,	3.97366
83,	7,	4.27630
84,	20,	5.84867
85,	2,	5.46380
86,	7,	5.61742
87,	1,	5.15568
88,	14,	6.04011
89,	1,	5.53610
90,	7,	5.68249
91,	5,	5.61424
92,	5,	5.55282
93,	5,	5.49754
94,	4,	5.34778
95,	7,	5.51300
96,	1,	5.06170
97,	4,	4.95553
98,	1,	4.55998
99,	25,	6.60398
100,	1,	6.04358
101,	4,	5.83923
102,	5,	5.75530
103,	9,	6.07977
104,	2,	5.67180
105,	2,	5.30462
106,	7,	5.47415
107,	4,	5.32674
108,	1,	4.89406
109,	1,	4.50466
110,	2,	4.25419
111,	4,	4.22877
112,	2,	4.00590
113,	12,	4.80531
114,	6,	4.92478
115,	7,	5.13230
116,	11,	5.71907
117,	14,	6.54716
118,	7,	6.59245
119,	2,	6.13320
120,	1,	5.61988
121,	6,	5.65789
122,	17,	6.79210
123,	10,	7.11289
124,	4,	6.80160
125,	33,	9.42144
126,	22,	10.67930
127,	22,	11.81137
128,	10,	11.63023
129,	48,	15.26721
130,	3,	14.04049
131,	20,	14.63644
132,	8,	13.97280
133,	10,	13.57552
134,	1,	12.31796
135,	4,	11.48617
136,	12,	11.53755
137,	12,	11.58380
138,	13,	11.72542
139,	4,	10.95287
140,	9,	10.75759
141,	17,	11.38183
142,	12,	11.44365
143,	8,	11.09928
144,	22,	12.18935
145,	18,	12.77042
146,	2,	11.69338
147,	3,	10.82404
148,	36,	13.34163
149,	22,	14.20747
150,	24,	15.18672
151,	21,	15.76805
152,	16,	15.79125
153,	13,	15.51212
